pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-12-24,96846,109876.6,1149342.82,626905.65,64694
2022-12-25,60644,74714.06,733617.44,391923.85,39655
2022-12-26,81583,95218.86,993144.97,573942.5,52593
2022-12-27,101820,120466.09,1346689.32,793865.2666666667,68036
2022-12-28,105403,126277.89,1410945.12,834643.25,70500
2022-12-29,111847,134898.55,1496095.91,886575.4666666667,74477
2022-12-30,109354,133027.83,1460069.05,848036.4,73020
2022-12-31,106880,131504.56,1324878.87,723845.7833333333,71013
2023-01-01,89461,117601.06,1145978.1,623942.2,58452
2023-01-02,75092,94195.36,931015.99,500818.1,50667
2023-01-03,95056,122887.0,1341586.61,752742.8833333333,69884
2023-01-04,107328,142145.76,1566904.43,885341.65,79728
2023-01-05,116097,153632.09,1690826.06,953786.5833333334,86052
2023-01-06,122262,156674.02,1735846.23,977402.0833333334,88665
2023-01-07,133651,169572.74,1738184.85,975941.8166666668,91070
2023-01-08,99205,130270.77,1281371.56,677409.3833333333,69036
2023-01-09,93973,126368.61,1373447.86,745148.8166666667,71669
2023-01-10,112355,151919.86,1695890.11,955345.5666666668,86250
2023-01-11,121031,162680.81,1821572.55,1023045.4833333332,92488
2023-01-12,123468,165055.04,1887162.16,1088901.55,94507
2023-01-13,128628,164503.93,1845685.25,1044130.6,93517
2023-01-14,142833,178051.23,1879262.34,1079728.2166666666,97170
2023-01-15,118768,152600.82,1536344.48,835771.8666666667,81036
2023-01-16,89510,116488.36,1179536.14,631349.3333333334,64647
2023-01-17,109936,148650.72,1672626.58,943102.9833333332,85066
2023-01-18,118108,161519.89,1820593.57,1037487.5,91144
2023-01-19,127894,165500.96,1971102.11,1170287.6,98281
2023-01-20,127557,167359.8,1871408.16,1067909.3666666667,94372
2023-01-21,141962,183602.04,1898516.51,1078709.6333333333,98402
2023-01-22,105107,139881.55,1388733.62,745401.6333333333,74100
2023-01-23,99480,131182.43,1459935.24,799954.8666666667,76603
